Rating,size,ownership,industry,sector,revenue,avg_salary,company_text,state,age,sql,python,java,sas,matlab,javascript,c++,scala,hadoop,spark,hive,deep_learning,nlp,cv,tensorflow,pytorch,keras,title_simple,seniority,description
3.6,51 to 200,Company - Private,IT Services,Information Technology,$100 to $500 million,96.5,NT Concepts,VA,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,data scientist,others,2683
4.4,501 to 1000,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,77.0,E3 Federal Solutions,VA,16,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,data scientist,others,6516
3.9,1001 to 5000,Government,others,"Oil, Gas, Energy & Utilities",$500 million to $1 billion,67.0,PNNL,WA,55,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,data scientist,others,4798
3.7,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,113.5,Takeda Pharmaceutical,MA,239,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,data scientist,others,6001
3.7,1001 to 5000,Company - Private,IT Services,Information Technology,$100 to $500 million,71.0,Oasis Systems LLC,DC,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,4099
3.5,10000+,Company - Private,Insurance Carriers,Insurance,$10+ billion,82.5,Liberty Mutual Insurance,MA,108,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,others,3425
4.9,1001 to 5000,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion,104.5,Acuity Insurance,WI,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,1806
3.4,1001 to 5000,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,165.0,Valassis,NC,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,data scientist,others,4213
3.9,1001 to 5000,Government,others,"Oil, Gas, Energy & Utilities",$500 million to $1 billion,76.5,PNNL,WA,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,3715
3.6,10000+,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion,56.0,General Dynamics Information Technology,MD,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,6398
3.7,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,123.0,Takeda Pharmaceutical,MA,239,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,data scientist,others,5253
4.2,201 to 500,Company - Private,Consulting,Business Services,$50 to $100 million,111.0,Excella,DC,18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data engineer,senior,5137
4.1,51 to 200,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million,118.0,Berg Health,MA,14,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data scientist,others,1972
4.3,201 to 500,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million,122.5,"Assured Information Security, Inc. (AIS)",MD,19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,2255
3.9,501 to 1000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,121.0,"TraceLink, Inc.",MA,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,data scientist,others,2783
3.2,201 to 500,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million,110.5,Quanterix,MA,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,3692
3.8,501 to 1000,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million,55.5,"ENSCO, Inc.",VA,51,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,3595
4.0,10000+,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion,107.5,Cerner,MO,41,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,data scientist,others,1445
3.9,1001 to 5000,Government,others,"Oil, Gas, Energy & Utilities",$500 million to $1 billion,67.0,Pacific Northwest National Laboratory,WA,55,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,data scientist,others,5339
4.2,1001 to 5000,Nonprofit Organization,Consulting,Business Services,$100 to $500 million,109.5,LMI,VA,59,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data scientist,others,2668
2.5,1001 to 5000,Company - Private,others,others,$100 to $500 million,72.0,Cenlar,NJ,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data analyst,others,3663
3.6,5001 to 10000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion,74.0,Sartorius,PA,150,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,3268
3.9,1001 to 5000,Government,others,"Oil, Gas, Energy & Utilities",$500 million to $1 billion,76.5,PNNL,WA,55,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,data scientist,others,5622
3.0,51 to 200,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million,51.5,"XBiotech USA, Inc",TX,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,4191
3.9,1001 to 5000,Nonprofit Organization,Consulting,Business Services,$100 to $500 million,81.0,Noblis,DC,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,4064
3.4,10000+,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion,76.5,GEICO,MD,84,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,data engineer,others,3282
3.0,1001 to 5000,Company - Public,Banks & Credit Unions,Finance,$10+ billion,97.0,BankUnited,FL,11,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data scientist,others,4816
3.7,1001 to 5000,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,134.0,TRANZACT,NJ,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,4454
2.7,201 to 500,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,95.5,IFG Companies,GA,35,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,2692
3.6,10000+,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion,56.0,General Dynamics Information Technology,MD,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,6475
3.3,5001 to 10000,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion,91.0,MITRE,VA,62,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,data scientist,others,5495
3.8,51 to 200,Company - Private,others,Manufacturing,$25 to $50 million,144.0,JSR Micro,CA,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,5148
3.1,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,218.0,"Daiichi Sankyo, Inc.",NJ,121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data scientist,senior,5407
3.5,5001 to 10000,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion,100.0,Maxar Technologies,VA,-1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,data scientist,others,2518
4.8,501 to 1000,Company - Private,IT Services,Information Technology,$100 to $500 million,140.0,KnowBe4,FL,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,data scientist,senior,2917
3.6,201 to 500,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million,76.5,STRATACACHE,OH,21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,data scientist,others,7428
4.4,51 to 200,Company - Public,others,others,Less than $1 million,96.5,Homology Medicines,MA,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,2972
3.7,1001 to 5000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million,129.0,ABIOMED,MA,39,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,data scientist,senior,8752
4.8,201 to 500,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million,105.0,Sabre Systems,MD,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,others,3043
3.9,10000+,Company - Public,Consulting,Business Services,$5 to $10 billion,132.0,Booz Allen Hamilton,MA,106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,2218
4.1,51 to 200,Company - Private,others,Business Services,Unknown / Non-Applicable,121.0,7Park Data,NY,8,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,data scientist,others,4078
3.6,5001 to 10000,other,Health Care Services & Hospitals,Health Care,$500 million to $1 billion,87.5,Parkland,TX,126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,4714
4.1,10000+,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,149.0,GENENTECH,CA,44,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,4532
3.4,201 to 500,Company - Private,others,Manufacturing,Unknown / Non-Applicable,51.0,AFB International,MO,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,5242
3.6,10000+,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion,39.5,General Dynamics Information Technology,MS,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,8618
3.4,1001 to 5000,Company - Private,others,Finance,$500 million to $1 billion,112.0,Freedom Financial Network,CA,18,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data engineer,senior,4769
3.1,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,140.0,"Daiichi Sankyo, Inc.",NJ,121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data scientist,director,3851
3.8,501 to 1000,Company - Private,others,Finance,Unknown / Non-Applicable,105.0,JM&A Group,FL,42,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,data scientist,others,4814
4.2,51 to 200,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million,109.0,Varen Technologies,VA,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,others,1388
4.0,201 to 500,Company - Private,others,Insurance,$100 to $500 million,138.5,Woodruff Sawyer,CA,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,2380
3.9,501 to 1000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,121.0,"TraceLink, Inc.",MA,11,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,data scientist,others,2783
4.1,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,147.5,AstraZeneca,MD,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,2602
4.1,51 to 200,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million,93.5,ClearEdge,MD,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,others,others,4662
3.3,5001 to 10000,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion,147.5,MITRE,VA,62,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,data scientist,others,4733
4.4,51 to 200,Company - Private,Consulting,Business Services,$1 to $5 million,144.5,OneGlobe LLC,DC,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,3291
3.8,201 to 500,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,107.0,MMIT,PA,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,others,5630
3.8,1001 to 5000,other,Consulting,Business Services,$100 to $500 million,149.5,Analysis Group,MA,39,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,data scientist,director,5230
4.4,501 to 1000,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,62.0,E3 Federal Solutions,VA,16,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,data analyst,others,7404
3.5,10000+,Company - Private,others,Manufacturing,$2 to $5 billion,69.0,Crown Equipment Corporation,OH,75,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,data engineer,others,3154
3.3,10000+,Company - Private,others,Finance,Unknown / Non-Applicable,77.5,Vanguard,PA,45,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,others,senior,5166
3.0,51 to 200,Government,others,Finance,$50 to $100 million,120.0,State of Wisconsin Investment Board,WI,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,6484
4.1,51 to 200,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,107.5,Evidation,CA,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,data scientist,senior,3107
3.3,5001 to 10000,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion,147.5,MITRE,VA,62,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,data scientist,others,5877
4.0,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,114.5,Novartis,MA,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,2191
4.1,51 to 200,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million,71.5,"IZEA, Inc",FL,14,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,data engineer,others,10093
4.5,201 to 500,Company - Private,others,Business Services,$25 to $50 million,86.0,Envision LLC,MO,26,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,993
4.2,51 to 200,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million,109.0,Varen Technologies,VA,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,others,1388
3.8,10000+,Company - Public,others,Manufacturing,$10+ billion,89.0,Flex,TX,51,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,data scientist,others,5787
4.3,201 to 500,Company - Private,others,others,$50 to $100 million,82.5,Homes.com,VA,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,2608
3.1,51 to 200,Company - Private,IT Services,Information Technology,$10 to $25 million,84.0,Astor & Sanders Corp,DC,20,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data engineer,others,1875
3.3,5001 to 10000,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion,133.0,MITRE,VA,62,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,data scientist,others,5407
3.1,1 to 50,Company - Private,Consulting,Business Services,$10 to $25 million,94.0,"General Technical Services, LLC and Fibertek, Inc.",MD,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,4158
4.3,1 to 50,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,82.5,Stratagem Group,CO,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,junior,3552
4.5,501 to 1000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million,97.0,Novetta,VA,8,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,data engineer,senior,6011
4.2,201 to 500,Company - Private,Consulting,Business Services,$50 to $100 million,61.5,Excella Consulting,VA,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data analyst,others,4323
3.9,1001 to 5000,Company - Private,others,Manufacturing,Unknown / Non-Applicable,168.5,Lucid Motors,CA,13,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,data engineer,senior,3541
4.6,51 to 200,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million,150.0,Recursion Pharmaceuticals,UT,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data scientist,senior,4642
3.8,51 to 200,Company - Private,others,Manufacturing,$25 to $50 million,144.0,JSR Micro,CA,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,5219
4.3,501 to 1000,Company - Private,IT Services,Information Technology,$100 to $500 million,174.0,DigitalOcean,NY,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,5414
3.7,201 to 500,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,148.0,GRAIL,CA,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,2788
3.3,10000+,Nonprofit Organization,others,Business Services,$5 to $10 billion,90.5,Battelle,OH,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,4985
3.9,1001 to 5000,Government,others,"Oil, Gas, Energy & Utilities",$500 million to $1 billion,92.5,Pacific Northwest National Laboratory,WA,55,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,data scientist,senior,5240
3.1,201 to 500,Company - Private,others,Manufacturing,$1 to $2 billion,87.5,Old World Industries,IL,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data analyst,others,3747
4.6,51 to 200,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,126.0,Constellation (MN),MN,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,manager,2086
3.7,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,93.0,Takeda Pharmaceutical,GA,239,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,data engineer,others,7515
4.4,501 to 1000,Company - Private,IT Services,Information Technology,$50 to $100 million,91.5,Applied Information Sciences,MD,38,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,data engineer,others,1625
4.1,1 to 50,Company - Private,others,Business Services,$5 to $10 million,62.0,Systems Personnel,NY,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,others,504
3.9,10000+,Company - Public,Consulting,Business Services,$5 to $10 billion,80.0,Booz Allen Hamilton,MO,106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,data scientist,others,3990
2.9,51 to 200,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million,66.5,"Rockland Immunochemicals, Inc.",PA,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,3464
3.2,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million,84.5,Catalent Pharma Solutions,NC,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,6050
3.3,10000+,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,60.0,Perspecta,DC,2,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,data scientist,junior,4683
3.2,5001 to 10000,Company - Public,others,Finance,$5 to $10 billion,125.5,GM Financial,TX,28,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,data scientist,senior,4139
4.1,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion,92.0,Agilent,TX,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,2123
3.2,10000+,Company - Public,IT Services,Information Technology,$10+ billion,79.5,Infosys Limited,TX,39,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,data scientist,others,2957
3.9,1001 to 5000,Government,others,"Oil, Gas, Energy & Utilities",$500 million to $1 billion,67.0,Pacific Northwest National Laboratory,WA,55,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,data scientist,others,5339
3.2,5001 to 10000,Company - Public,others,Finance,$5 to $10 billion,125.5,GM Financial,TX,28,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,data scientist,senior,4139
2.5,1 to 50,Company - Private,Advertising & Marketing,Business Services,Less than $1 million,127.0,Decision Sciences,CA,-1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,data scientist,others,4535
3.7,10000+,Company - Public,others,others,$10+ billion,93.0,Cognizant Technology Solutions,PA,26,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,data scientist,senior,3856
3.1,10000+,Company - Public,others,Manufacturing,$10+ billion,90.5,PPG,PA,137,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,data engineer,senior,4323
4.1,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,167.0,Roche,CA,124,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,data scientist,senior,2938
3.7,10000+,Company - Public,others,Finance,$10+ billion,95.5,FIS Global,OH,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,data scientist,others,6803
3.9,1001 to 5000,Company - Private,others,Manufacturing,Unknown / Non-Applicable,138.5,Lucid Motors,CA,13,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,data engineer,others,3490
4.0,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,114.5,Novartis,MA,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,2127
3.3,201 to 500,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million,145.5,Omeros Corporation,WA,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,6020
3.8,501 to 1000,Company - Private,others,Finance,Unknown / Non-Applicable,99.5,JM&A Group,FL,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,2708
3.7,201 to 500,Nonprofit Organization,others,Education,$25 to $50 million,55.5,Desert Research Institute,NV,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,7538
3.3,1001 to 5000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,66.0,AGC Biologics,WA,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,4040
3.6,201 to 500,Company - Private,Internet,Information Technology,$10 to $25 million,192.0,Tapjoy,CA,13,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,data scientist,senior,2405
4.9,201 to 500,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,132.0,Klaviyo,MA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,3489
3.4,201 to 500,Company - Private,others,Finance,Unknown / Non-Applicable,132.0,National Funding,CA,21,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,senior,2242
3.0,1001 to 5000,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,103.0,Homesite Group,MA,23,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,data scientist,others,4327
2.4,201 to 500,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million,143.0,CareDx,CA,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,4032
3.1,1001 to 5000,Company - Private,others,Business Services,$500 million to $1 billion,83.5,Group O,TX,46,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,data engineer,others,1740
3.1,501 to 1000,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,119.0,Nutrisystem,PA,39,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,5771
4.6,5001 to 10000,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 million,167.0,Intuit - Data,CA,37,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,data scientist,others,2763
4.2,10000+,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion,88.0,Biomerieux,MO,57,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,4591
3.7,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,65.5,Takeda Pharmaceutical,CA,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,others,5109
3.4,201 to 500,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million,53.5,United Network for Organ Sharing,VA,36,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,data scientist,others,9741
4.4,51 to 200,Company - Private,Consulting,Business Services,$1 to $5 million,126.0,OneGlobe LLC,DC,15,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,data engineer,others,4272
3.7,1 to 50,Company - Private,others,Manufacturing,$25 to $50 million,85.0,CTK Biotech,CA,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,senior,1552
4.1,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,128.5,AstraZeneca,MD,107,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,data scientist,others,5274
